PATH,BEGBAT,ENDBAT,CALLTR,MEDTYP,BAND,MEDCODE,OFFCD,ADVTN,PRODN,INVDAT,ESTCODE,INVNO,BRODMN,ADVTC,PRODC,RUNDAT,TIMEDAY,TYPE,COPYID,RATE,NETWORK,GROBIL,AGYCOM,NETDUE,NETTAX,Comment,Rejected,ICOST,PayeeName,Address1,Address2,Verified,Image_Name,SEQNO
,,,,,,,,,,,,,,,,200309,0834AM,60,C518,2400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200309,1234PM,60,C518,2400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200309,0618PM,60,C518,2400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200309,1132PM,60,C518,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200310,0834AM,60,C518,2400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200310,1145AM,60,C518,2400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200310,0132PM,60,C518,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200310,0534PM,60,C518,2400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200310,1015PM,60,C518,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200311,0632AM,60,C518,2400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200311,1251PM,60,C518,2400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200311,0332PM,60,C518,2400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200312,0852AM,60,C518,2400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200312,0145PM,60,C518,2400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200312,0618PM,60,C518,2400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200313,0615AM,60,C518,2400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200313,0345PM,60,C518,2400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200314,1015AM,60,C518,2400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200314,0230PM,60,C518,2400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200315,0747AM,60,C518,2000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200315,0530PM,60,C518,2000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200315,1115PM,60,C518,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200316,0852AM,60,C518,2400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200316,0215PM,60,C518,2400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200316,0634PM,60,C518,2400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200316,0935PM,60,C518,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200317,0716AM,60,C518,2400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200317,0115PM,60,C518,2400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200317,0415PM,60,C518,2400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200317,1035PM,60,C518,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200318,0632AM,60,C518,2400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200318,1132AM,60,C518,2400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200318,0634PM,60,C518,2400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200319,0752AM,60,C518,2400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200319,0115PM,60,C518,2400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200319,0345PM,60,C518,2400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200320,0956AM,60,C518,2400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200320,0432PM,60,C518,2400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200321,1015AM,60,C518,2400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200321,1130AM,60,C518,2400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200321,0315PM,60,C518,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200321,1012PM,60,C518,000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200322,0720AM,60,C518,2000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,200322,0615PM,60,C518,2000,,,,,,,,,,,,,,
